Epoch,Learning_rate,Train_Energy_RMSE (eV/atom),Valid_Energy_RMSE (eV/atom),Train_Force_RMSE (eV/Å),Valid_Force_RMSE (eV/Å),Train_Stress_RMSE (kbar),Valid_Stress_RMSE (kbar),Train_Energy_MAE (eV/atom),Valid_Energy_MAE (eV/atom),Train_Force_MAE (eV/Å),Valid_Force_MAE (eV/Å),Train_Stress_MAE (kbar),Valid_Stress_MAE (kbar),Train_Energy_Loss,Valid_Energy_Loss,Train_Force_Loss,Valid_Force_Loss,Train_Stress_Loss,Valid_Stress_Loss,Train_TotalLoss,Valid_TotalLoss
93,0.004000,0.392125,0.681234,1.793363,0.703945,158.271332,143.166110,0.032671,0.044209,0.068740,0.078386,5.574152,6.678502,0.000283,0.000398,0.000637,0.000740,0.055706,0.066868,0.001478,0.001807
94,0.004000,0.393770,0.682543,1.879685,3.315740,164.373648,149.372338,0.032726,0.043513,0.069332,0.079825,5.591638,6.616330,0.000284,0.000391,0.000645,0.000740,0.055878,0.066245,0.001487,0.001793
95,0.004000,0.391722,0.683622,1.826198,3.732166,159.363575,165.893631,0.032560,0.046345,0.068877,0.083651,5.570417,6.870919,0.000282,0.000419,0.000639,0.000774,0.055675,0.068782,0.001478,0.001880
96,0.004000,0.394587,0.683206,1.876397,2.447022,176.057019,154.025651,0.032930,0.042871,0.069363,0.079383,5.609524,6.585745,0.000286,0.000385,0.000644,0.000737,0.056059,0.065933,0.001490,0.001782
97,0.004000,0.392759,0.686223,1.794740,3.210387,158.326342,171.970918,0.032391,0.046407,0.068516,0.083002,5.549230,6.685205,0.000281,0.000419,0.000635,0.000772,0.055460,0.066924,0.001470,0.001861
98,0.004000,0.391611,0.681908,1.875687,1.329078,166.643546,141.771813,0.032369,0.041083,0.068427,0.076386,5.561431,6.423683,0.000280,0.000368,0.000634,0.000719,0.055574,0.064327,0.001470,0.001729
99,0.004000,0.392455,0.678642,1.795027,4.037367,169.622781,137.822096,0.032214,0.040520,0.068072,0.079936,5.529423,6.160876,0.000279,0.000362,0.000631,0.000736,0.055257,0.061692,0.001463,0.001716
100,0.004000,0.396452,0.678136,1.898940,0.549057,166.421119,141.332133,0.032303,0.042115,0.068469,0.073820,5.569875,6.646728,0.000280,0.000377,0.000635,0.000695,0.055656,0.066559,0.001471,0.001737
101,0.004000,0.392319,0.680836,1.908621,3.124576,159.807191,150.537798,0.032070,0.044112,0.068161,0.080127,5.470262,6.331710,0.000277,0.000397,0.000632,0.000741,0.054662,0.063403,0.001456,0.001771
102,0.004000,0.391635,0.682599,1.773888,3.278763,163.668961,149.360705,0.031904,0.043055,0.067418,0.079849,5.522875,6.470609,0.000276,0.000388,0.000626,0.000741,0.055188,0.064793,0.001454,0.001776
103,0.004000,0.392939,0.681810,1.842436,3.631433,175.455904,160.970063,0.031976,0.040701,0.068011,0.082392,5.515300,6.464659,0.000277,0.000364,0.000631,0.000762,0.055114,0.064730,0.001459,0.001774
104,0.004000,0.392617,0.679116,1.878901,0.984897,162.529497,140.791762,0.031830,0.044061,0.067275,0.074412,5.512010,6.169657,0.000275,0.000396,0.000624,0.000699,0.055078,0.061776,0.001450,0.001712
105,0.004000,0.391139,0.681315,1.834721,0.560454,150.144557,157.064305,0.031675,0.042855,0.067056,0.073901,5.382689,6.574477,0.000274,0.000385,0.000621,0.000696,0.053793,0.065829,0.001433,0.001739
106,0.004000,0.393219,0.679909,1.750754,1.202318,182.998084,148.649147,0.031895,0.042792,0.067053,0.077001,5.585673,6.304442,0.000276,0.000384,0.000621,0.000721,0.055835,0.063128,0.001455,0.001736
107,0.004000,0.391846,0.682197,1.857065,3.730989,160.807981,159.869261,0.031509,0.042083,0.067063,0.082654,5.447404,6.613717,0.000272,0.000378,0.000622,0.000763,0.054438,0.066228,0.001438,0.001803
108,0.004000,0.392705,0.679186,2.017310,3.399783,164.591503,146.774346,0.031426,0.043351,0.067445,0.082268,5.459805,6.532743,0.000271,0.000389,0.000627,0.000760,0.054564,0.065406,0.001443,0.001804
109,0.004000,0.391436,0.679398,1.874037,3.112056,158.624095,154.354793,0.031546,0.041116,0.066927,0.082025,5.423388,6.485687,0.000272,0.000368,0.000619,0.000764,0.054195,0.064936,0.001434,0.001781
110,0.004000,0.392315,0.685326,1.831791,2.832293,164.779937,177.328087,0.031423,0.043124,0.066588,0.078906,5.443022,6.611846,0.000271,0.000387,0.000618,0.000730,0.054391,0.066204,0.001433,0.001779
111,0.004000,0.391688,0.680449,1.769225,1.361485,156.526575,151.483409,0.031241,0.044121,0.065879,0.077214,5.357646,6.356808,0.000269,0.000397,0.000609,0.000724,0.053537,0.063654,0.001414,0.001758
112,0.004000,0.392761,0.677541,1.910599,0.778398,167.654925,135.459707,0.031443,0.040571,0.066719,0.074748,5.443851,6.207243,0.000271,0.000364,0.000619,0.000706,0.054400,0.062165,0.001434,0.001692
113,0.004000,0.392351,0.684123,1.764971,0.714677,156.009963,178.421739,0.031129,0.044591,0.065923,0.074326,5.376545,6.595938,0.000268,0.000401,0.000610,0.000698,0.053733,0.066042,0.001415,0.001759
114,0.004000,0.391273,0.681573,1.830670,0.781738,172.264011,141.713823,0.031128,0.042220,0.066063,0.073057,5.406757,6.435764,0.000268,0.000379,0.000612,0.000687,0.054032,0.064442,0.001420,0.001710
115,0.004000,0.391651,0.680778,1.905768,0.992317,157.654389,162.575785,0.031061,0.041494,0.066631,0.074969,5.394628,6.460477,0.000268,0.000371,0.000617,0.000705,0.053907,0.064695,0.001424,0.001724
116,0.004000,0.392225,0.680898,1.750599,3.244905,155.020602,141.486372,0.031030,0.040862,0.065975,0.080234,5.351953,6.454125,0.000267,0.000366,0.000610,0.000741,0.053479,0.064635,0.001412,0.001753
