epoch,lr,trainset_Energy_MAE,trainset_Force_MAE,trainset_Stress_MAE,trainset_Energy_Loss,trainset_Force_Loss,trainset_Stress_Loss,trainset_TotalLoss,validset_Energy_MAE,validset_Force_MAE,validset_Stress_MAE,validset_Energy_Loss,validset_Force_Loss,validset_Stress_Loss,validset_TotalLoss
1,197037,0.008584,0.033458,0.107142,7.676307,0.000289,0.001024,0.076713,0.002080,0.030787,0.107538,8.068108,0.000262,0.001028,0.080660,0.002097
1,199028,0.008556,0.028458,0.100199,7.267864,0.000240,0.000955,0.072680,0.001921,0.033369,0.099628,6.977125,0.000288,0.000949,0.069751,0.001934
2,1991,0.008529,0.028854,0.099671,7.198803,0.000244,0.000950,0.071938,0.001912,0.029961,0.099935,7.141031,0.000254,0.000952,0.071386,0.001920
2,3981,0.008501,0.028584,0.098338,7.059386,0.000241,0.000937,0.070544,0.001883,0.028527,0.098935,7.018309,0.000241,0.000942,0.070162,0.001884
2,5971,0.008472,0.046187,0.142891,12.489302,0.000416,0.001382,0.124843,0.003046,0.036016,0.116424,7.807060,0.000314,0.001117,0.078051,0.002211
2,7962,0.008444,0.031467,0.108137,7.584444,0.000269,0.001034,0.075795,0.002061,0.038435,0.122752,8.724977,0.000338,0.001180,0.087224,0.002390
2,9952,0.008415,0.029215,0.102357,7.284659,0.000247,0.000976,0.072797,0.001951,0.028377,0.099637,7.084187,0.000239,0.000949,0.070821,0.001896
2,11942,0.008386,0.028754,0.099529,7.032343,0.000243,0.000948,0.070274,0.001893,0.026087,0.098276,7.002323,0.000217,0.000935,0.070002,0.001852
2,13932,0.008357,0.028012,0.098435,7.070456,0.000235,0.000937,0.070655,0.001879,0.030395,0.099573,7.178615,0.000259,0.000948,0.071765,0.001925
2,15923,0.008328,0.031628,0.101826,7.224337,0.000271,0.000971,0.072193,0.001964,0.027156,0.098984,7.044901,0.000227,0.000942,0.070427,0.001874
2,17913,0.008299,0.028324,0.098420,7.051566,0.000238,0.000937,0.070466,0.001880,0.028991,0.098294,7.073982,0.000245,0.000935,0.070721,0.001887
2,19903,0.008269,0.028291,0.097514,7.071150,0.000238,0.000928,0.070662,0.001873,0.034344,0.099211,7.170512,0.000297,0.000945,0.071682,0.001958
2,21893,0.008239,0.027884,0.097563,7.024638,0.000234,0.000929,0.070196,0.001865,0.025927,0.095167,6.818345,0.000215,0.000904,0.068163,0.001801
2,23884,0.008209,0.028466,0.097623,7.178708,0.000240,0.000929,0.071737,0.001886,0.029060,0.096678,7.103330,0.000246,0.000919,0.071012,0.001875
2,25874,0.008179,0.027379,0.096872,7.063046,0.000229,0.000922,0.070581,0.001857,0.027453,0.094866,6.795518,0.000230,0.000901,0.067931,0.001810
2,27864,0.008148,0.027081,0.095878,7.042713,0.000226,0.000912,0.070377,0.001842,0.030919,0.094678,7.104094,0.000263,0.000899,0.071017,0.001873
2,29855,0.008117,0.027303,0.096014,7.025206,0.000228,0.000913,0.070202,0.001843,0.024413,0.094480,6.859948,0.000201,0.000897,0.068578,0.001784
2,31845,0.008087,0.027304,0.095914,6.996115,0.000229,0.000912,0.069911,0.001840,0.029094,0.094957,6.770081,0.000246,0.000902,0.067678,0.001824
2,33835,0.008056,0.026137,0.095113,6.993449,0.000217,0.000904,0.069885,0.001820,0.028696,0.093437,6.788749,0.000242,0.000887,0.067867,0.001808
2,35825,0.008024,0.026422,0.094616,6.894270,0.000220,0.000899,0.068893,0.001808,0.025590,0.094499,6.825074,0.000212,0.000897,0.068230,0.001792
2,37816,0.007993,0.025989,0.094268,6.943171,0.000216,0.000895,0.069382,0.001805,0.027453,0.093157,6.749822,0.000230,0.000884,0.067475,0.001789
2,39806,0.007961,0.026155,0.094348,6.851572,0.000217,0.000897,0.068466,0.001799,0.025651,0.092790,6.774868,0.000213,0.000880,0.067726,0.001770
2,41796,0.007929,0.026364,0.094153,6.892458,0.000219,0.000894,0.068875,0.001802,0.034592,0.099115,7.331646,0.000299,0.000943,0.073299,0.001976
2,43786,0.007897,0.026004,0.093801,6.948920,0.000216,0.000891,0.069439,0.001801,0.025636,0.094755,8.309659,0.000213,0.000900,0.083054,0.001943
2,45777,0.007865,0.026004,0.093708,6.827474,0.000216,0.000890,0.068225,0.001788,0.030411,0.095034,7.353647,0.000259,0.000902,0.073505,0.001896
2,47767,0.007833,0.025731,0.093600,6.874774,0.000213,0.000889,0.068698,0.001789,0.025320,0.092275,7.047699,0.000210,0.000875,0.070451,0.001789
2,49757,0.007800,0.025591,0.093249,6.991900,0.000212,0.000885,0.069869,0.001796,0.030362,0.093566,6.882659,0.000258,0.000888,0.068806,0.001835
2,51748,0.007768,0.025426,0.093069,6.807845,0.000210,0.000884,0.068029,0.001774,0.026804,0.093648,7.418401,0.000224,0.000889,0.074155,0.001855
2,53738,0.007735,0.026152,0.094423,7.031062,0.000217,0.000898,0.070261,0.001818,0.025466,0.093367,7.138075,0.000211,0.000886,0.071358,0.001811
2,55728,0.007702,0.025517,0.092994,6.851502,0.000211,0.000883,0.068465,0.001778,0.024338,0.092650,6.834208,0.000200,0.000879,0.068320,0.001762
